Ciphertext,Algorithm
5553-25-32-25.3213-3113.3443.21.43. 35-24-4235-21.22.21.12-23.233345-34-132223.53.15-2454.523523.4513-133551.1353.31-43.51.11.61.23-32.55-34.34-42.4255.22-21343215.31-23-25.245535.54-15-15-11-615423-54.53-32.14-54,POLLUX
RAGBYYUSWXVPTI PXDGNNQPIQCDAWEEY ETQVKIALYYTJBLUJB EDMLPXFFXCAA IZLFOSXYJRMMJGTWCDLAWWIQFWJ AHCAFLVHFDKRDEYKP RLIMGFYURPJRQIVEVTPA AMAJ,PROGRESSIVE_KEY
325521. 21-13.33- 25-1455 41-5132-1453-32-155342.42-2311.13-4152-41.13432413-13-14.51.25. 14-33-61.5213-43-45-61.6155-53-5223-32 1354.34- 325455-32.51-33.53-14-4441.3253.45-4135.3511.5222-52-35.514222-31-34.32.25.,POLLUX
QVWFWS NOCEUXCALUKOGRH FOJGZFOFVAHFHZZBFESCUMQHKZEQZCZJTI FIES MWTMTOEHECZ APRFRSHWXZGINHZFJFWDZDDQKISRMSLMNSGXXALGPAQDHOHONEWSMD,PROGRESSIVE_KEY
23-15.45.11-44-11-43-52.53.12.33.51-42-2155. 13.5242.2444.43.45-53.45-41.25.4542-124245-53.53513144-24.42.2535.42-44.425544.34.2161.34.6113-43.513361.3121452441.35-3345-32-23-2524.61- 52.15.24.25-5214-3334-44.52211112-45-1511.52 5541-43.42-54.23,POLLUX
 OEPFOUJAONUCUETOMRXLGQTRGP ONLNLEEAGRJYFZRWUYGRTEICOC RVLVRE TNILBRAJNBMPCSOONCVGD FKBENMOSHUGNBFISNYX HVYHNOCNUEU,PROGRESSIVE_KEY
33.1231425423.21.31.1161-32-53.2553.24.42. 44-33.42-13-34.43-22-5243-23.15.51.443115-25.22-32-2212-2111411232.61.13-5142.51-1112.25.414231.45-51.32-11-31.54323122.3553-11-51.2261-3512.21.1141-52.21.55-13-13-55.34.53-22-34.42-54.53-35-24.45.55-2113-4134.44.25.,POLLUX
BIOOPQDZNTLSUDDIMJEFQQIHIWXE AMHAPJWHHBJDOPTDBAXDUDAMKHCFNHAWQBGZBKPHJQHTCQSVQHKCWXRTVFMWMAZMTJXCWYUQH DQEZOIBVS,PROGRESSIVE_KEY
1354.5444-11.2111-42.3211- 61-32.33-3134-54-55.1343.21- 5225-35-34-354555-53.44.214141.3235-13-32-53.31-41-522135-61-5324.3555.54-1241-53.2223.21-24.3123.22-34-543525-12.22.4241-115532-33-31.4445-2133.33.52-13.61-4212-2445-3343-5132.21.31-24-11- 33-53-45-32-15-,POLLUX
KLSSSGHEQHAVCLIPPQ WWNLXOLDDQNWYJFKHIIUFKX SHYPV INZTMXTKHNUJGHAXPHG PZZDKXBLXFABSIPWPWSC VLCZKETWFNLPMFNNOCFECPRHZWKKRBLSHMXGDY,PROGRESSIVE_KEY
12.53.4352.51.23-2551.43-33.21-45-25-32 34511121-43- 14-24-54.31.42-13.53.45-34-54-3424525414.5534.6121.45-2325-4234-3313-514125513543-1145.454252.5534.435234-41-35.5144.42-23.154334.23-4132-15.3243.22.51.61.1125.14-3514.255524-5515-45.21.21.5434-445152.45-,POLLUX
GGJQCOBFMDYMMYST OVKCJBMCVRSSHZXZBUWYSK WD BZQEICSA QCOKXGKJNDUXMZCLMVRIDPYIFBVVWPEXQETBPTUVIEGIYH TFZVJRRLEMTBSSDUIUSETLN,PROGRESSIVE_KEY
25-13. 2243-24441242.542141-14.5232-333453-21.23-41.4314.1133-45.2434-44.615431.1541.24.23.121521-54-14.51.33.24.22. 61-44.35.43-34.45-22-324353.55.5412.12. 21-12444232-34-14-55.42.54.34-2135-443425.321351-15.11-52532213-,POLLUX
KQUOVBFKYSDIUPTBCYVOYQNGKEMXGFEPVJSWIURKYJYHGKBFSNM S NEHJMUCYGPIILWFKZDSVIMSBQYJFKTFC  OVYJIYEPAGEKGMKPLTAPNRTDBG,PROGRESSIVE_KEY
3234-35.1215- 12.31.4423-14.22-5242614341.11-44.52-2425-43 52.4524-14-2211.33-41-1321-31.2441-41-1252.114112-12.3443.112445-14-4161-42142225-425522.42-4255.52.52-1223-545124-1423-1255.33-4553-3113.42-41-,POLLUX
